sku,mae
S001_P0001,92.13940621517838
S001_P0002,65.48275658596921
S001_P0003,101.65954942957005
S001_P0004,93.03184471195527
S001_P0005,103.24929737277762
S001_P0006,83.51170489536896
S001_P0007,102.03862121966861
S001_P0008,72.25311130211841
S001_P0009,28.137218418823466
S001_P0010,90.38899772672157
S001_P0011,91.89219586144601
S001_P0012,111.32184595143994
S001_P0013,63.74347901592055
S001_P0014,103.52423542579137
S001_P0015,62.4680117124121
S001_P0016,74.13789160224009
S001_P0017,88.46976899063029
S001_P0018,73.60850816630565
S001_P0019,40.586331690999195
S001_P0020,102.04292967591282
S002_P0001,116.7350449577011
S002_P0002,110.70913648316409
S002_P0003,80.683322891367
S002_P0004,92.93679293836125
S002_P0005,81.93691428500323
S002_P0006,56.44145925596643
S002_P0007,124.89015755864365
S002_P0008,97.62209522377495
S002_P0009,100.89835626912692
S002_P0010,132.9430202451183
S002_P0011,104.30871624687725
S002_P0012,70.39206457799693
S002_P0013,96.24912872797267
S002_P0014,89.6465063541234
S002_P0015,65.99068945029539
S002_P0016,98.80808780802774
S002_P0017,106.97848422095409
S002_P0018,128.34919737643403
S002_P0019,131.1518370147699
S002_P0020,111.43409527510998
S003_P0001,66.53293006087418
S003_P0002,144.0438978891178
S003_P0003,110.05191413355926
S003_P0004,101.08034663793445
S003_P0005,97.85161635040564
S003_P0006,117.02267082231644
S003_P0007,79.28003061200874
S003_P0008,81.0041589119659
S003_P0009,68.0008630390937
S003_P0010,104.06453388896803
S003_P0011,66.30412194190747
S003_P0012,72.13550965974632
S003_P0013,64.52067381667558
S003_P0014,67.84183982679356
S003_P0015,73.41566580598986
S003_P0016,97.35063918721161
S003_P0017,77.17261324451604
S003_P0018,128.25968928591507
S003_P0019,72.50534712007159
S003_P0020,111.55033043903765
S004_P0001,118.30018350090401
S004_P0002,91.8266689899198
S004_P0003,122.4547576966517
S004_P0004,94.70638760861979
S004_P0005,72.39285578174697
S004_P0006,75.06748234773872
S004_P0007,61.04781175785573
S004_P0008,123.19088439231373
S004_P0009,47.46662522469029
S004_P0010,47.122934842298946
S004_P0011,95.68936459345097
S004_P0012,50.615973685196586
S004_P0013,111.70376180502343
S004_P0014,45.25534072282613
S004_P0015,82.29417311764838
S004_P0016,68.54827087660883
S004_P0017,93.31435918117211
S004_P0018,98.95658103263004
S004_P0019,80.68381135114818
S004_P0020,42.33223659345039
S005_P0001,82.20830606364304
S005_P0002,92.4635949627872
S005_P0003,58.951388202279496
S005_P0004,64.85208667182559
S005_P0005,140.01428762181953
S005_P0006,123.13471887831311
S005_P0007,75.24278364715522
S005_P0008,109.64204068453746
S005_P0009,90.64725212330374
S005_P0010,63.62361140363674
S005_P0011,85.86031210582611
S005_P0012,82.55560723018996
S005_P0013,89.58490464619715
S005_P0014,94.66445489773594
S005_P0015,103.85780893058188
S005_P0016,111.14434417320557
S005_P0017,34.21924791346682
S005_P0018,91.85246813708436
S005_P0019,129.6877218760135
S005_P0020,67.37241914530928
