sku,date,forecast
S001_P0001,2023-12-26,121.74911767679639
S001_P0001,2023-12-27,94.79273205540213
S001_P0001,2023-12-28,177.44599869181798
S001_P0001,2023-12-29,127.65913281477812
S001_P0001,2023-12-30,163.08860667458154
S001_P0001,2023-12-31,125.65311650763766
S001_P0001,2024-01-01,88.38853573036151
S001_P0002,2023-12-26,134.9751971715978
S001_P0002,2023-12-27,164.37087103909437
S001_P0002,2023-12-28,194.07576638125883
S001_P0002,2023-12-29,43.95008732634656
S001_P0002,2023-12-30,95.17934154123857
S001_P0002,2023-12-31,77.12616867751811
S001_P0002,2024-01-01,154.6810910939195
S001_P0003,2023-12-26,132.24193199628618
S001_P0003,2023-12-27,97.71359312578691
S001_P0003,2023-12-28,37.36839141316094
S001_P0003,2023-12-29,126.37328535919491
S001_P0003,2023-12-30,187.24034365632448
S001_P0003,2023-12-31,182.48755293734155
S001_P0003,2024-01-01,156.0137737462832
S001_P0004,2023-12-26,52.7690974556361
S001_P0004,2023-12-27,145.74738425310693
S001_P0004,2023-12-28,160.54348206239194
S001_P0004,2023-12-29,122.70833453576911
S001_P0004,2023-12-30,190.2789479614608
S001_P0004,2023-12-31,119.83766424264441
S001_P0004,2024-01-01,122.65117250709275
S001_P0005,2023-12-26,173.8437499952157
S001_P0005,2023-12-27,95.56949394549768
S001_P0005,2023-12-28,46.72852049316426
S001_P0005,2023-12-29,164.74382794407236
S001_P0005,2023-12-30,102.20661446860956
S001_P0005,2023-12-31,103.36573656373281
S001_P0005,2024-01-01,128.2998399308248
S001_P0006,2023-12-26,200.1880703416526
S001_P0006,2023-12-27,133.79150345092802
S001_P0006,2023-12-28,142.11649865692837
S001_P0006,2023-12-29,152.185982126306
S001_P0006,2023-12-30,134.66744010567564
S001_P0006,2023-12-31,129.34448989835414
S001_P0006,2024-01-01,186.69388086086258
S001_P0007,2023-12-26,132.4959753103807
S001_P0007,2023-12-27,109.1924112635039
S001_P0007,2023-12-28,197.39680661393018
S001_P0007,2023-12-29,173.59717213796344
S001_P0007,2023-12-30,178.9012842180102
S001_P0007,2023-12-31,189.21604348827063
S001_P0007,2024-01-01,210.3640840945525
S001_P0008,2023-12-26,155.50990876179216
S001_P0008,2023-12-27,84.24699590514514
S001_P0008,2023-12-28,111.96297651462741
S001_P0008,2023-12-29,149.12600176573108
S001_P0008,2023-12-30,134.51246925055344
S001_P0008,2023-12-31,121.23894182587854
S001_P0008,2024-01-01,98.32178923199379
S001_P0009,2023-12-26,99.10077630661048
S001_P0009,2023-12-27,219.98735435461083
S001_P0009,2023-12-28,82.01926583019412
S001_P0009,2023-12-29,202.85320189740318
S001_P0009,2023-12-30,187.97857863982736
S001_P0009,2023-12-31,80.86133229946856
S001_P0009,2024-01-01,41.83982382462639
S001_P0010,2023-12-26,118.82733249896508
S001_P0010,2023-12-27,84.89845852239829
S001_P0010,2023-12-28,100.05942901392206
