sku,mae_arima
S001_P0001,82.40957437898257
S001_P0002,58.68901487222714
S001_P0003,76.42831980594754
S001_P0004,82.99392972620537
S001_P0005,112.57110423505596
S001_P0006,60.99388609881362
S001_P0007,101.30165992125933
S001_P0008,74.73106753010946
S001_P0009,54.88194857811277
S001_P0010,83.39894119083125
S001_P0011,89.69644124634871
S001_P0012,95.70921235210949
S001_P0013,51.75352094560622
S001_P0014,85.17104830673277
S001_P0015,77.99806914842917
S001_P0016,75.27527918978832
S001_P0017,66.5016534053277
S001_P0018,76.29911373614118
S001_P0019,40.51802297901338
S001_P0020,96.7503454718513
S002_P0001,113.39439205664432
S002_P0002,101.30473583662574
S002_P0003,70.89486079131574
S002_P0004,83.43326123787553
S002_P0005,91.1219005371463
S002_P0006,49.21860437034588
S002_P0007,139.14441728301426
S002_P0008,104.17056839114262
S002_P0009,102.1642129590534
S002_P0010,123.9879382418302
S002_P0011,92.53056981101365
S002_P0012,66.05982255018735
S002_P0013,81.1330432228679
S002_P0014,93.88913852540436
S002_P0015,62.50876426833601
S002_P0016,82.1705262120618
S002_P0017,115.32660439892614
S002_P0018,102.89152940171037
S002_P0019,125.3597807551901
S002_P0020,111.06610180250276
S003_P0001,73.21799804253763
S003_P0002,113.25938045613627
S003_P0003,105.15081133856665
S003_P0004,80.80222136061234
S003_P0005,108.33824854077959
S003_P0006,111.06858965288737
S003_P0007,77.09745365203275
S003_P0008,58.59198402914809
S003_P0009,62.43126234059192
S003_P0010,87.90863134690893
S003_P0011,75.21346216116468
S003_P0012,60.07735552220789
S003_P0013,76.0385683496141
S003_P0014,76.4834671863841
S003_P0015,72.83154123405107
S003_P0016,94.56531810322323
S003_P0017,62.15022681202182
S003_P0018,108.42128250197418
S003_P0019,87.18703357952361
S003_P0020,104.12417072539938
S004_P0001,125.47575440225395
S004_P0002,102.34364273965103
S004_P0003,91.61675752676055
S004_P0004,84.36862558561484
S004_P0005,52.22713748693195
S004_P0006,87.24396243014293
S004_P0007,68.69708073066604
S004_P0008,132.21576044292206
S004_P0009,52.351048201888204
S004_P0010,50.78273523906247
S004_P0011,89.44147560575195
S004_P0012,74.36698518245755
S004_P0013,110.31087942923251
S004_P0014,48.74186317114012
S004_P0015,77.38523379092165
S004_P0016,45.90191318058063
S004_P0017,82.69307438817782
S004_P0018,85.54941415211503
S004_P0019,95.21619488857384
S004_P0020,45.096987431477885
S005_P0001,75.91313924634106
S005_P0002,72.4804060575544
S005_P0003,64.89502202749829
S005_P0004,56.746585192064984
S005_P0005,125.76459708233757
S005_P0006,120.6501976317508
S005_P0007,66.48978780082639
S005_P0008,95.56498146779283
S005_P0009,83.10793234294339
S005_P0010,69.02135262536436
S005_P0011,101.52056375934067
S005_P0012,97.54610569924982
S005_P0013,96.20188234162855
S005_P0014,79.40518860609781
S005_P0015,130.1950287736744
S005_P0016,114.12545430687149
S005_P0017,44.23363530661272
S005_P0018,101.07055360788851
S005_P0019,116.0699195334379
S005_P0020,66.92413172718862
