sku,date,pred
S001_P0001,2024-01-02,0.0
S001_P0001,2024-01-03,7.819740295410156
S001_P0001,2024-01-04,13.266763687133787
S001_P0001,2024-01-05,0.0
S001_P0001,2024-01-06,0.0
S001_P0001,2024-01-07,26.744674682617188
S001_P0001,2024-01-08,24.95103454589844
S001_P0002,2024-01-02,20.19526672363281
S001_P0002,2024-01-03,12.546063423156738
S001_P0002,2024-01-04,7.29276704788208
S001_P0002,2024-01-05,0.0
S001_P0002,2024-01-06,20.44740867614746
S001_P0002,2024-01-07,7.603859424591064
S001_P0002,2024-01-08,16.112548828125
S001_P0003,2024-01-02,0.0
S001_P0003,2024-01-03,0.0
S001_P0003,2024-01-04,26.95510482788086
S001_P0003,2024-01-05,15.449481010437012
S001_P0003,2024-01-06,9.799001693725586
S001_P0003,2024-01-07,34.965576171875
S001_P0003,2024-01-08,30.628324508666992
S001_P0004,2024-01-02,0.0
S001_P0004,2024-01-03,27.919363021850582
S001_P0004,2024-01-04,6.071074962615967
S001_P0004,2024-01-05,47.260345458984375
S001_P0004,2024-01-06,8.09589958190918
S001_P0004,2024-01-07,64.6479721069336
S001_P0004,2024-01-08,3.1972930431365967
S001_P0005,2024-01-02,0.0
S001_P0005,2024-01-03,56.08224487304688
S001_P0005,2024-01-04,51.96272659301758
S001_P0005,2024-01-05,42.84362030029297
S001_P0005,2024-01-06,45.89340591430664
S001_P0005,2024-01-07,68.57186126708984
S001_P0005,2024-01-08,53.09599304199219
S001_P0006,2024-01-02,8.35348892211914
S001_P0006,2024-01-03,0.0
S001_P0006,2024-01-04,9.244244575500488
S001_P0006,2024-01-05,0.0
S001_P0006,2024-01-06,9.216877937316896
S001_P0006,2024-01-07,33.39476776123047
S001_P0006,2024-01-08,0.0
S001_P0007,2024-01-02,14.932944297790527
S001_P0007,2024-01-03,0.0
S001_P0007,2024-01-04,27.291580200195312
S001_P0007,2024-01-05,8.548355102539062
S001_P0007,2024-01-06,19.605806350708008
S001_P0007,2024-01-07,0.0
S001_P0007,2024-01-08,44.73242568969727
S001_P0008,2024-01-02,13.212389945983888
S001_P0008,2024-01-03,17.394058227539062
S001_P0008,2024-01-04,25.0373649597168
S001_P0008,2024-01-05,0.0
S001_P0008,2024-01-06,16.523025512695312
S001_P0008,2024-01-07,23.75286293029785
